Unnamed: 0,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Dream,44.21105462881262,21.22630903190449,196.0,3523.0,MALE
1,Adelie,Biscoe,56.49488600735076,21.38535740599692,211.0,3836.0,MALE
2,Adelie,Dream,43.15142895207711,17.979846360325773,179.0,4051.0,MALE
3,Adelie,Dream,42.74729187573241,18.34130202338523,213.0,3975.0,MALE
4,Adelie,Biscoe,35.87818680342152,17.886679376974303,212.0,3547.0,MALE
5,Adelie,Dream,40.612335343626036,17.963140797282193,197.0,4970.0,MALE
6,Adelie,Dream,56.559496472586936,18.387991399065825,198.0,3880.0,MALE
7,Chinstrap,Dream,50.35828181519732,18.046076750422547,183.0,3276.0,MALE
8,Gentoo,Biscoe,53.29149238538089,20.623775691434908,207.0,3479.0,MALE
9,Adelie,Dream,58.55845509863758,15.654449564959911,180.0,3574.0,MALE
10,Adelie,Dream,59.37028221298834,20.868305281795102,180.0,3252.0,MALE
11,Adelie,Dream,43.36171713954348,18.316276273741515,198.0,3370.0,MALE
12,Adelie,Dream,55.30459461099926,17.833473210220554,183.0,4018.0,MALE
13,Chinstrap,Biscoe,43.98951051039306,18.22466086722398,193.0,3997.0,MALE
14,Adelie,Dream,36.14592249168833,20.693411850877286,179.0,4009.0,MALE
15,Adelie,Biscoe,55.226265853406105,18.195306496512934,194.0,4038.0,MALE
16,Adelie,Dream,44.374365639920605,18.30363595809607,181.0,3457.0,MALE
17,Adelie,Dream,44.556963690094136,17.819755628050032,178.0,3379.0,MALE
18,Adelie,Dream,56.625543089991474,21.22989993333448,182.0,3972.0,MALE
19,Adelie,Dream,56.85541487609896,20.46869042913812,210.0,4161.0,MALE
20,Gentoo,Dream,55.37536892329833,18.22620518154334,212.0,3940.0,MALE
21,Adelie,Dream,58.92457937065032,18.089494962898893,213.0,3487.0,MALE
22,Adelie,Dream,44.347095719919984,18.073903555848037,196.0,3382.0,MALE
23,Adelie,Dream,56.3099598297886,18.52558232147898,179.0,3969.0,MALE
24,Adelie,Biscoe,43.280356788631785,17.8269301078325,208.0,3269.0,MALE
25,Adelie,Dream,57.35175302017092,17.81601101729272,199.0,3818.0,MALE
26,Adelie,Biscoe,55.68542958863446,20.73116314737731,214.0,4074.0,MALE
27,Chinstrap,Biscoe,43.6272174336095,20.156879236634104,181.0,5050.0,MALE
28,Adelie,Dream,59.382527633094746,17.89168242167408,210.0,3388.0,MALE
29,Adelie,Biscoe,57.0165159194269,17.95582661731612,195.0,3761.0,MALE
30,Adelie,Dream,43.292524441381794,18.392552476862093,181.0,3286.0,MALE
31,Adelie,Dream,44.2632748194291,21.453357177396988,209.0,3371.0,MALE
32,Adelie,Biscoe,52.7512307759799,17.81685910599481,190.0,3923.0,MALE
33,Adelie,Biscoe,36.61256956753256,20.334957935655442,210.0,3263.0,MALE
34,Adelie,Dream,43.47174825958898,20.835110162336886,205.0,3539.0,MALE
35,Adelie,Dream,44.63510425041005,20.952340718446695,198.0,3316.0,MALE
36,Adelie,Dream,43.89926171600989,17.963413660774076,207.0,3905.0,MALE
37,Adelie,Dream,50.597058855560675,18.27872503267814,194.0,3920.0,MALE
38,Chinstrap,Dream,44.16211244287059,18.059217535873433,206.0,3975.0,MALE
39,Adelie,Dream,56.27038300307963,17.93343524713197,196.0,4942.0,MALE
40,Adelie,Dream,57.10285704828607,18.172691013855317,198.0,3296.0,MALE
41,Adelie,Biscoe,40.83394466616331,17.829140243242673,214.0,4162.0,MALE
42,Adelie,Dream,54.269006938731955,17.874681718479835,211.0,4160.0,MALE
43,Adelie,Dream,40.20977719221783,18.53129401005465,181.0,3905.0,MALE
44,Adelie,Dream,55.41301090686848,20.907523284945626,181.0,6119.0,MALE
45,Adelie,Dream,44.276178080271634,18.065330922970585,196.0,3457.0,MALE
46,Adelie,Biscoe,55.077667728755976,18.341382746606765,214.0,4128.0,MALE
47,Adelie,Dream,43.51877685155168,18.420361658243127,211.0,4011.0,MALE
48,Adelie,Dream,40.19653982153805,18.479676725876544,210.0,4140.0,MALE
49,Adelie,Dream,52.018850625725364,20.885374208512125,210.0,3348.0,MALE
50,Adelie,Biscoe,44.10794867319968,19.77775401704406,198.0,4012.0,MALE
51,Adelie,Dream,58.219923928588926,18.515246188251954,213.0,3402.0,MALE
52,Gentoo,Biscoe,54.80111454638134,17.84295769843161,194.0,3759.0,MALE
53,Adelie,Dream,55.40013651168137,18.30038932038154,183.0,3922.0,MALE
54,Adelie,Biscoe,58.36985160630144,18.425614199339197,215.0,4046.0,MALE
55,Adelie,Dream,41.93208456056727,20.27331128039815,178.0,3317.0,MALE
56,Adelie,Dream,52.37264461482776,17.98550863107098,208.0,3354.0,MALE
57,Adelie,Dream,55.97816811522638,18.241625631167363,182.0,3849.0,MALE
58,Adelie,Biscoe,58.86640352466723,18.12731238493732,208.0,4134.0,MALE
59,Adelie,Biscoe,43.46860227832106,20.889366418494063,214.0,4110.0,MALE
60,Adelie,Dream,44.13616715822834,18.149002807171254,193.0,3871.0,MALE
61,Adelie,Dream,40.95070901742581,21.06332999278659,197.0,3295.0,MALE
62,Adelie,Dream,37.0095963649345,18.221143427247966,196.0,6073.0,MALE
63,Adelie,Dream,58.60796406990346,18.17636409624635,213.0,4099.0,MALE
64,Adelie,Dream,56.06904266043859,20.990470040740153,179.0,4117.0,MALE
65,Adelie,Dream,55.71247256568879,18.064292245116796,181.0,4953.0,MALE
66,Adelie,Biscoe,43.59071715395777,20.639869269033042,194.0,4079.0,MALE
67,Adelie,Biscoe,55.56225286493165,17.985690171968383,195.0,5021.0,MALE
68,Adelie,Dream,41.03912753541222,21.174844161951608,212.0,3880.0,MALE
69,Adelie,Biscoe,50.3258237560069,20.02920287593369,182.0,6021.0,MALE
70,Gentoo,Dream,57.57347832138589,20.56876503928389,203.0,5040.0,MALE
71,Adelie,Biscoe,57.56682382063889,18.04857825031036,212.0,3262.0,MALE
72,Gentoo,Biscoe,43.631932949671516,20.793815405240625,208.0,3319.0,MALE
73,Adelie,Biscoe,58.741648472474076,19.487853541521577,210.0,3567.0,MALE
74,Adelie,Dream,43.291327480023455,17.977696501791502,211.0,6000.0,MALE
75,Adelie,Biscoe,57.324560902988985,18.50531571147257,215.0,3507.0,MALE
76,Adelie,Biscoe,58.9940098049161,21.020646915521475,206.0,3351.0,MALE
77,Adelie,Dream,56.79192592705694,20.973029656993734,212.0,3909.0,MALE
78,Adelie,Dream,56.908452539865706,18.065808885967773,213.0,3600.0,MALE
79,Adelie,Biscoe,59.20615055785046,18.50071031838684,195.0,4975.0,MALE
80,Adelie,Biscoe,44.3454328033947,21.228973410664445,181.0,3545.0,MALE
81,Adelie,Dream,56.907706099550445,18.259596865757814,195.0,4014.0,MALE
82,Adelie,Dream,55.95149981237014,21.289558319223076,178.0,3830.0,MALE
83,Adelie,Biscoe,35.57824012558656,18.087132754131254,195.0,3403.0,MALE
84,Adelie,Dream,43.863208499636016,21.06666931132516,181.0,4035.0,MALE
85,Adelie,Dream,40.28908530328032,21.241616318074875,205.0,3457.0,MALE
86,Adelie,Dream,59.1290717712697,20.76112792417397,196.0,3496.0,MALE
87,Adelie,Dream,51.72371491296592,17.942309060521062,212.0,3481.0,MALE
88,Adelie,Dream,51.83759741856669,19.52745725109025,212.0,3552.0,MALE
89,Chinstrap,Biscoe,56.0745029588279,17.97716781053761,205.0,5003.0,MALE
90,Adelie,Biscoe,44.474412183080304,18.27167555683568,193.0,4136.0,MALE
91,Adelie,Biscoe,41.04923752686402,18.08019957203909,207.0,3923.0,MALE
92,Adelie,Biscoe,55.72640776657789,18.447813309867634,214.0,4023.0,MALE
93,Adelie,Dream,43.750613446555974,21.18043205147354,199.0,4043.0,MALE
94,Adelie,Dream,54.59064459838393,18.106660733545898,206.0,3502.0,MALE
95,Adelie,Dream,44.39235304486864,21.057677635588117,191.0,6142.0,MALE
96,Adelie,Biscoe,41.583312710325565,18.31935392171092,198.0,3796.0,MALE
97,Adelie,Biscoe,57.30593247049162,18.109487649436424,196.0,3674.0,MALE
98,Adelie,Biscoe,58.63195776260178,16.070024957840626,190.0,3734.0,MALE
99,Adelie,Dream,58.31611050492292,17.83461696760803,208.0,6255.0,MALE
