species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Dream,50.92216009169388,15.57521909145963,197.0,5255.0,MALE
Gentoo,Dream,50.68437460808583,18.827445592558256,213.0,5504.0,MALE
Gentoo,Dream,49.756571847284825,18.794038896682732,185.0,4663.0,MALE
Gentoo,Torgersen,49.31202106330565,18.767716838674684,197.0,5266.0,MALE
Chinstrap,Dream,50.00600548376367,18.297629851542464,173.0,5556.0,MALE
Gentoo,Torgersen,49.71356887798864,13.561056899326335,199.0,5694.0,MALE
Chinstrap,Dream,50.75544611984563,18.49605855371143,187.0,5378.0,MALE
Gentoo,Dream,49.434109996717055,13.897821959982226,210.0,5470.0,.
Gentoo,Dream,49.91064162391898,13.246020171976125,211.0,5276.0,MALE
Chinstrap,Torgersen,50.204300608501335,18.282681428590127,225.0,5502.0,MALE
Gentoo,Dream,51.097310434287174,13.653443873055933,189.0,5884.0,MALE
Gentoo,Dream,49.98788885349782,18.272217503241727,189.0,5757.0,MALE
Gentoo,Dream,46.62505407209919,13.192445085279562,220.0,5475.0,MALE
Gentoo,Dream,45.178461561432364,15.203295485757206,213.0,5480.0,MALE
Adelie,Dream,44.80051474085716,13.769195215824807,208.0,5577.0,MALE
Adelie,Dream,49.288892438746714,13.608238364183507,211.0,5499.0,MALE
Adelie,Dream,51.10180220391266,18.773993337192355,189.0,5350.0,MALE
Gentoo,Dream,51.302660059103545,18.363237166565465,216.0,5404.0,MALE
Gentoo,Dream,50.82809739899062,18.379368779744606,210.0,5362.0,MALE
Gentoo,Torgersen,51.08095636370885,13.46011105905448,198.0,5773.0,.
Gentoo,Dream,43.952905815628164,18.9723122227832,201.0,5542.0,MALE
Gentoo,Dream,50.60703730771535,15.383051335480587,225.0,5255.0,MALE
Gentoo,Torgersen,51.071805291911986,18.934853324121836,211.0,4822.0,MALE
Gentoo,Torgersen,50.48095581276746,18.59181118281858,212.0,5401.0,MALE
Adelie,Torgersen,49.898392467494965,18.605830275319974,209.0,5272.0,MALE
Gentoo,Torgersen,48.87692832218801,18.971675881799325,196.0,5556.0,MALE
Adelie,Dream,49.79397254749791,13.259590151553459,225.0,5290.0,MALE
Gentoo,Dream,44.77993917697046,13.757375967224128,199.0,4510.0,MALE
Gentoo,Torgersen,51.11078039640422,18.804871612184005,197.0,5390.0,MALE
Chinstrap,Dream,51.258167511369585,18.84958296719923,213.0,5427.0,MALE
Adelie,Dream,49.91177688551997,18.770044275742222,211.0,5238.0,MALE
Gentoo,Dream,50.97960230137201,18.27047973527838,198.0,5806.0,MALE
Gentoo,Torgersen,41.06635385357789,13.655347210982205,201.0,5423.0,MALE
Gentoo,Torgersen,48.063826524285815,13.87591067505243,184.0,5423.0,MALE
Adelie,Torgersen,50.10892308554787,13.573159528096626,177.0,5249.0,MALE
Gentoo,Dream,48.63861467545105,18.44319086871944,208.0,5348.0,MALE
Gentoo,Dream,50.57918788761088,13.897596924830601,196.0,5267.0,MALE
Gentoo,Dream,49.69676474111674,13.571742866385284,185.0,5388.0,MALE
Gentoo,Dream,50.86832368715764,13.445774571409812,176.0,5353.0,MALE
Gentoo,Dream,50.437421303387595,18.655872138371475,176.0,5339.0,MALE
Chinstrap,Dream,48.60314275311468,18.81546501397042,210.0,4817.0,MALE
Chinstrap,Dream,44.457339132779644,13.291773756115466,185.0,5445.0,MALE
Gentoo,Torgersen,50.98590763260515,18.153181316139303,201.0,5260.0,MALE
Adelie,Torgersen,49.27075491143962,13.54443971354144,177.0,5457.0,MALE
Gentoo,Dream,49.49431199755532,13.890740232863678,188.0,5579.0,MALE
Gentoo,Dream,50.9937958882988,18.71141668858668,218.0,5712.0,MALE
Adelie,Torgersen,49.125434501631574,18.669962720109204,200.0,5497.0,MALE
Adelie,Torgersen,50.16065453670685,15.307364723891578,220.0,5457.0,MALE
Chinstrap,Dream,49.25619380369186,13.517471358299842,188.0,4671.0,MALE
Chinstrap,Torgersen,45.7607356882979,18.753972186577446,201.0,5366.0,MALE
Gentoo,Dream,50.80874354051964,13.309323329628329,212.0,5297.0,MALE
Chinstrap,Dream,44.33191632144782,15.529073581720494,198.0,5730.0,MALE
Gentoo,Dream,48.821226001019475,18.37055703040599,200.0,5316.0,MALE
Adelie,Dream,49.480150162849505,18.933753811097016,208.0,5395.0,MALE
Adelie,Torgersen,49.99683676693158,18.918257236426957,177.0,5461.0,MALE
Adelie,Dream,42.91529301662399,14.845456600199922,215.0,5539.0,MALE
Gentoo,Dream,48.899909076310536,18.516470949045242,212.0,5272.0,MALE
Adelie,Torgersen,50.115984926749015,18.76499047934715,176.0,5512.0,MALE
Gentoo,Torgersen,50.54304387713395,15.157709420066778,210.0,5854.0,.
Adelie,Dream,47.35546250615317,15.20747518086259,222.0,5446.0,MALE
Adelie,Torgersen,50.83978387405118,13.777732107644242,196.0,5289.0,MALE
Adelie,Dream,50.085779919168395,18.73219341519739,208.0,5246.0,MALE
Gentoo,Dream,51.25055600142795,18.94472354708727,207.0,5629.0,MALE
Adelie,Dream,50.258760476893805,13.238168235197787,200.0,5336.0,MALE
Adelie,Dream,50.21594692648245,18.91578980039651,208.0,5325.0,.
Chinstrap,Dream,49.82371982225767,18.919508452106026,196.0,5512.0,MALE
Gentoo,Dream,50.239788869353546,18.67318910845804,198.0,5344.0,MALE
Adelie,Torgersen,46.908478151424816,15.569928294929538,219.0,5278.0,MALE
Gentoo,Torgersen,50.18304028895344,18.352255893403754,213.0,5571.0,MALE
Adelie,Dream,49.39840613160759,15.520701318059064,221.0,5474.0,MALE
Gentoo,Dream,49.12082615352448,13.749722606086559,212.0,5509.0,MALE
Gentoo,Torgersen,49.11350620270278,18.652138759756983,173.0,5399.0,MALE
Gentoo,Dream,50.28512624463867,14.856128565504372,210.0,5255.0,MALE
Gentoo,Dream,50.40581331972148,13.125312857134007,211.0,5431.0,.
Gentoo,Torgersen,44.4104602280258,18.14921437621506,213.0,5740.0,MALE
Adelie,Dream,48.84701699328789,14.990468768256468,196.0,5334.0,MALE
Adelie,Dream,50.6834107854077,13.740376024352273,198.0,5251.0,MALE
Adelie,Torgersen,51.01111851976263,15.104765027209476,177.0,5334.0,MALE
Adelie,Torgersen,51.13929779385227,15.43137524913038,172.0,5678.0,MALE
Adelie,Dream,50.916765613635505,18.665539692382396,211.0,5348.0,MALE
Chinstrap,Dream,51.06997608373417,18.46697999526235,210.0,5477.0,MALE
Chinstrap,Torgersen,48.38847670950549,13.839323168180442,187.0,5622.0,MALE
Adelie,Dream,50.08664979360715,18.172270481060885,200.0,5356.0,MALE
Gentoo,Torgersen,49.67606413814522,13.490862911774588,198.0,5493.0,MALE
Gentoo,Torgersen,50.53952934959962,13.797075965089965,177.0,5691.0,MALE
Adelie,Dream,49.357993833608354,13.206523325697399,189.0,5888.0,MALE
Gentoo,Dream,50.83197894839667,13.696809551669759,213.0,5531.0,MALE
Adelie,Torgersen,50.93608640426251,18.415617307204638,220.0,5648.0,MALE
Gentoo,Torgersen,51.061357160423356,18.160413074004634,212.0,5454.0,MALE
Gentoo,Dream,50.22195325471069,18.537928941947023,189.0,5450.0,MALE
Chinstrap,Dream,51.21185340138833,18.57822190071408,208.0,5281.0,.
Gentoo,Dream,50.194161279550414,18.174932450566033,201.0,5781.0,MALE
Adelie,Torgersen,49.83904854323568,18.615372256983495,173.0,5391.0,MALE
Gentoo,Torgersen,50.41567479121157,18.431844423884584,209.0,4587.0,.
Adelie,Dream,51.339709058222326,18.14377429409529,189.0,5477.0,MALE
Adelie,Torgersen,51.121588349355505,13.260249639768315,201.0,5542.0,MALE
Gentoo,Dream,50.781643981358116,18.233080964714087,199.0,5543.0,MALE
Adelie,Torgersen,48.82652571754078,18.59412244197522,209.0,5618.0,MALE
Gentoo,Dream,50.28515353886196,14.816220936955563,197.0,5356.0,MALE
Adelie,Dream,49.93772155541521,13.879631358882387,186.0,5252.0,MALE
Gentoo,Dream,50.332905186131555,13.809852056814632,184.0,5747.0,MALE
Adelie,Torgersen,50.923963333096665,18.934050020734425,199.0,5459.0,MALE
Gentoo,Dream,49.268347960670106,13.364432867540604,208.0,5474.0,MALE
Gentoo,Torgersen,50.611595357174835,18.90042460639199,177.0,5601.0,MALE
Adelie,Torgersen,48.922119306323424,18.96682243491683,208.0,5261.0,MALE
Gentoo,Torgersen,49.20626647638653,18.782374404772224,184.0,4728.0,MALE
Gentoo,Dream,50.78510317220409,18.37106939540349,209.0,5521.0,MALE
Gentoo,Dream,49.514474410354055,18.70354701548361,212.0,5799.0,MALE
Adelie,Dream,50.843761015467564,18.640357049136544,189.0,5254.0,MALE
Gentoo,Dream,48.876670680594266,13.439530773818133,199.0,5609.0,MALE
Gentoo,Dream,43.50248584450884,13.357122197372117,213.0,5429.0,MALE
Gentoo,Dream,50.51859426052591,18.190272480076892,184.0,5298.0,MALE
Gentoo,Dream,48.724393686630435,13.205321278795425,186.0,5849.0,.
Adelie,Dream,50.17813160117021,18.252523171044302,218.0,5329.0,MALE
Gentoo,Dream,51.10254404042236,13.503950006309621,209.0,5877.0,MALE
Chinstrap,Dream,50.06904441271699,13.639190443170591,208.0,5545.0,MALE
Gentoo,Dream,50.471620114546205,13.741817500053363,211.0,5411.0,MALE
Gentoo,Dream,48.67341618532107,18.17923955837667,196.0,5473.0,MALE
Gentoo,Torgersen,50.34624975225651,18.831958292994432,198.0,4775.0,.
Gentoo,Torgersen,50.2674306488241,13.136515827564404,209.0,5446.0,MALE
Gentoo,Dream,50.18387060708674,18.60615533724873,209.0,4733.0,MALE
Gentoo,Torgersen,49.67582587563778,18.765084193838728,198.0,5365.0,MALE
Gentoo,Torgersen,44.117884835921764,13.630225952307152,175.0,5541.0,MALE
Gentoo,Dream,51.29642078927999,18.937730087573723,184.0,5284.0,MALE
Chinstrap,Torgersen,48.700078103431586,18.429546616614783,221.0,5278.0,MALE
Gentoo,Torgersen,48.659500402101315,13.592142018399532,174.0,4761.0,MALE
Adelie,Torgersen,51.242836020658935,13.169551212696826,210.0,5656.0,MALE
Adelie,Dream,49.108672838842956,15.250229133863131,222.0,4687.0,MALE
Gentoo,Dream,48.940711702167185,13.783170992904083,186.0,5545.0,MALE
Adelie,Dream,49.17908540218828,13.269347791613404,208.0,5709.0,MALE
Gentoo,Dream,45.302053123473996,13.319210180308431,197.0,5485.0,MALE
Chinstrap,Dream,51.1766651862726,15.368340737784543,188.0,5533.0,MALE
Adelie,Torgersen,48.662652083088815,18.353260852226292,212.0,5457.0,MALE
Adelie,Dream,49.77045178790875,18.35776619817798,216.0,5613.0,MALE
Gentoo,Torgersen,48.879125603278965,13.885832841869012,196.0,5406.0,MALE
Gentoo,Dream,46.56477969693029,18.978776145908217,208.0,5507.0,MALE
Gentoo,Torgersen,49.20728049611987,18.270366681781447,185.0,4859.0,MALE
Gentoo,Torgersen,50.37904572954714,18.89613640529672,210.0,5385.0,MALE
Gentoo,Dream,49.56330841034047,18.604290248217943,217.0,5600.0,MALE
Chinstrap,Torgersen,49.09587422920664,13.132424959624835,200.0,5706.0,MALE
Gentoo,Dream,49.98500038932719,13.591822280799235,210.0,5400.0,MALE
Chinstrap,Dream,48.7082914444829,18.678901706563433,217.0,5915.0,MALE
Chinstrap,Dream,43.37753341326966,13.128388386909771,174.0,4523.0,MALE
Gentoo,Torgersen,51.31764665898688,13.736461214613223,211.0,4830.0,MALE
Gentoo,Dream,49.148228423784424,18.826952118838317,212.0,5738.0,MALE
Gentoo,Dream,49.586027078606904,18.200180323437042,198.0,5256.0,MALE
Adelie,Dream,50.611895342119745,13.64465594965559,200.0,4771.0,MALE
Gentoo,Dream,50.905398054281896,18.523499883958323,212.0,5264.0,MALE
Gentoo,Dream,51.12582567048716,18.340525881367213,213.0,4548.0,MALE
Gentoo,Torgersen,49.06591766676804,18.525283120562886,198.0,4585.0,MALE
Adelie,Dream,50.449761549825894,18.273887356191917,198.0,5417.0,.
Gentoo,Torgersen,51.25800948336875,18.42027936165513,218.0,5458.0,MALE
Adelie,Dream,48.759640095522876,13.650374131748796,184.0,5530.0,MALE
Gentoo,Dream,50.45955490682329,18.540247867167572,174.0,5432.0,MALE
Adelie,Torgersen,45.424917632679445,13.566972879529134,213.0,5449.0,MALE
Gentoo,Torgersen,44.041359487966105,13.556491946795806,209.0,5753.0,MALE
Gentoo,Dream,49.28939018303406,15.469299161693778,210.0,5402.0,MALE
