species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,37.386080045846946,19.808183954099313,183.0,3479.0,MALE
Chinstrap,Torgersen,55.14218730404292,18.647767288898812,184.0,3400.0,MALE
Chinstrap,Dream,46.42828592364241,17.957736059072047,203.0,3822.0,MALE
Chinstrap,Dream,57.20601053165283,14.078365928068873,221.0,4239.0,MALE
Gentoo,Biscoe,53.42800274188184,16.02678603854852,,4356.0,FEMALE
Gentoo,Torgersen,47.78178443899432,21.048300898238356,197.0,5754.0,MALE
Chinstrap,Dream,57.92772305992281,13.766181258283725,230.0,,FEMALE
Chinstrap,Biscoe,39.392054998358525,15.502435471145567,230.0,3896.0,
Gentoo,Biscoe,43.75532081195949,13.806156397817809,203.0,4816.0,
Adelie,Torgersen,59.02715030425067,21.22840936562621,177.0,,FEMALE
Gentoo,Dream,55.34865521714359,18.52487185913757,213.0,3940.0,MALE
Adelie,Biscoe,41.043944426748915,21.037770485462868,177.0,4402.0,MALE
Adelie,Dream,,16.598876555080793,220.0,6038.0,MALE
Gentoo,Torgersen,37.98752703604959,18.03390586245383,190.0,4221.0,
Gentoo,Biscoe,,19.403818693203267,218.0,4971.0,.
Adelie,Dream,41.38923078071618,19.322870826434546,200.0,2760.0,.
Gentoo,Dream,46.70025737042858,17.11724512506716,216.0,4648.0,.
Chinstrap,Torgersen,36.569446219373354,15.5999688193554,191.0,5106.0,MALE
Chinstrap,Dream,49.85090110195633,20.812541091310234,219.0,5539.0,MALE
Adelie,Biscoe,52.70133002955178,15.882799491459416,204.0,5943.0,
Adelie,Torgersen,48.339048699495315,19.115661021231418,215.0,3485.0,
Adelie,Biscoe,58.09047818185443,19.72876986018968,195.0,4586.0,MALE
Gentoo,Biscoe,47.65145290781408,15.03229525864886,191.0,4302.0,FEMALE
Gentoo,Dream,50.97851865385768,16.87473782965105,188.0,,MALE
Gentoo,Biscoe,59.46090264595599,16.88042537310051,185.0,3190.0,FEMALE
Gentoo,Biscoe,34.415477906383735,16.099118671706417,182.0,4812.0,MALE
Chinstrap,Biscoe,47.87419623374748,14.798312580478141,177.0,4255.0,FEMALE
Adelie,Dream,51.48846416109401,14.83285609650139,199.0,5202.0,
Gentoo,Dream,43.696986273748955,18.95034182476933,189.0,3370.0,MALE
Gentoo,Biscoe,32.939969588485226,14.338415485792476,222.0,2814.0,FEMALE
Gentoo,Torgersen,49.85539019820211,17.92177326457322,194.0,3406.0,FEMALE
Adelie,Biscoe,38.92908375568479,18.957609545729817,190.0,3738.0,MALE
Chinstrap,Biscoe,46.50588844275999,13.443722796279127,187.0,5943.0,FEMALE
Chinstrap,Biscoe,49.789801150686,21.407019448341366,214.0,4296.0,MALE
Adelie,Torgersen,33.833176926788944,21.39385841933734,193.0,5074.0,.
Gentoo,Biscoe,53.831913262142905,19.05881492577123,192.0,4815.0,MALE
Gentoo,Torgersen,47.97946154277394,15.850528449663168,219.0,5474.0,MALE
Chinstrap,Torgersen,33.49430733772553,21.258029276855712,192.0,4211.0,MALE
Gentoo,Biscoe,45.46459394380544,14.758910979991112,204.0,,
