species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,61.16296572395704,77.63731460437535,58,6,FEMALE
Gentoo,Torgersen,46.81765938501582,7.7241771733208004,22,22,MALE
Adelie,Dream,59.63929785584906,63.13816344139334,16,69,FEMALE
Gentoo,Dream,64.1332941999347,41.39398003869075,84,68,MALE
Gentoo,Dream,33.74707627484581,48.91638891474314,44,30,FEMALE
Chinstrap,Biscoe,63.072861308266006,22.146601317783954,27,83,MALE
Adelie,Biscoe,33.93328816628489,2.946238220985964,10,15,FEMALE
Chinstrap,Biscoe,90.78244404722918,89.90017289944716,39,58,FEMALE
Adelie,Dream,22.26631208453529,92.27926146293063,45,89,FEMALE
Adelie,Torgersen,24.374298559609684,74.11920023835701,44,97,FEMALE
Adelie,Torgersen,74.01419210252435,74.36098533340007,41,21,MALE
Chinstrap,Torgersen,77.73983693597117,83.38560722073541,93,43,.
Gentoo,Biscoe,51.47780453260435,31.18385999704897,5,62,.
Chinstrap,Dream,68.47073616269512,82.00828742701364,2,78,.
Chinstrap,Biscoe,33.517652202775864,67.66650115538182,48,50,MALE
Adelie,Biscoe,23.12834872633296,78.75908499745235,18,65,FEMALE
Gentoo,Torgersen,64.24340351346517,85.36042650631175,100,64,MALE
Gentoo,Torgersen,52.508860387085875,89.02685692675992,95,59,MALE
Gentoo,Dream,89.17700778173125,2.110202546194173,48,12,FEMALE
Gentoo,Biscoe,48.78006719557535,46.181660602571604,55,53,FEMALE
Adelie,Dream,10.887984406688467,94.88947363733597,61,68,.
Gentoo,Biscoe,79.08412415526833,57.690366170110586,8,48,MALE
Adelie,Dream,37.02195318246051,71.5976170719196,86,70,.
Adelie,Biscoe,25.11986348237022,33.480105536041414,38,44,MALE
Gentoo,Dream,54.02604089337041,9.276299545679144,19,77,.
Chinstrap,Biscoe,10.51019680775893,57.66824703291642,87,55,.
Adelie,Biscoe,5.3057357771143625,42.75874745789366,5,95,FEMALE
Chinstrap,Torgersen,61.81317230483888,2.5091728028988847,62,30,.
Adelie,Biscoe,3.845451095453567,9.578827721473338,28,71,MALE
Gentoo,Torgersen,60.330555310971775,46.2957568587607,33,100,MALE
Gentoo,Dream,25.91194251663711,49.92290356795731,65,59,.
Chinstrap,Torgersen,96.54939733471628,49.66812795776882,58,22,MALE
Adelie,Biscoe,51.49759198492706,29.510691170011306,67,18,MALE
Gentoo,Torgersen,77.3872314992751,56.42498017081141,49,73,FEMALE
Gentoo,Torgersen,44.02828120733348,48.86992359378907,84,100,.
Gentoo,Dream,94.06168876405113,24.840189328183826,78,27,.
Adelie,Torgersen,2.0590478572020676,63.07175515399393,6,18,FEMALE
Chinstrap,Dream,90.20683467996326,76.36725744675242,43,99,MALE
Adelie,Dream,10.087626516546855,6.020808548817003,60,22,MALE
Chinstrap,Torgersen,2.5476003589438023,18.249915264592676,27,82,FEMALE
Chinstrap,Biscoe,83.70793699974406,71.08344871077502,18,44,FEMALE
Adelie,Dream,51.22204539925145,40.20772657795124,93,49,FEMALE
Chinstrap,Torgersen,0.44317136328653195,58.5510984950946,49,5,.
Adelie,Dream,9.817215345644536,52.62733460797716,1,51,FEMALE
Adelie,Torgersen,13.37903350632229,16.98891106394639,75,48,.
Adelie,Torgersen,37.95516843434955,60.717981161824895,93,27,.
Gentoo,Biscoe,92.71708480110978,11.492265761010623,54,2,FEMALE
Gentoo,Torgersen,39.44346122642997,80.70066207276886,45,78,.
Chinstrap,Dream,63.37047967571409,50.11531291033571,11,48,.
Adelie,Dream,98.56825577320734,6.755143700284649,28,89,FEMALE
Adelie,Biscoe,31.74799345372753,98.67917063367209,27,65,FEMALE
Gentoo,Dream,69.24004811633199,45.045453689830374,55,31,.
Adelie,Biscoe,87.05468476152019,69.98859935847263,22,99,.
Gentoo,Torgersen,23.089693227729835,14.508831817431522,26,21,MALE
Chinstrap,Torgersen,10.778940660799119,14.478774418654927,35,96,MALE
Chinstrap,Torgersen,50.851956788196276,15.628709985287514,86,71,MALE
Adelie,Biscoe,94.06757913788304,15.26152671203671,88,46,MALE
Gentoo,Dream,87.02116602700009,13.825241885674922,88,57,.
Gentoo,Dream,21.713583938360415,98.54767295705463,77,74,MALE
Gentoo,Torgersen,94.50645000766336,35.212638273018946,71,9,.
Gentoo,Dream,40.114967217853724,19.18042050117956,77,48,.
Chinstrap,Biscoe,85.50624738856123,42.454644391144555,14,54,FEMALE
Chinstrap,Biscoe,10.680070531149466,50.268425369123506,27,27,MALE
Chinstrap,Biscoe,41.25680409600492,46.0617854389028,71,32,MALE
Adelie,Biscoe,54.331672814782436,45.6179232402418,85,14,FEMALE
Chinstrap,Dream,60.01664731848123,72.1030214494165,71,97,FEMALE
Gentoo,Biscoe,89.4241922530437,67.54518853352872,24,7,FEMALE
Adelie,Dream,32.06888150864875,32.737281218464574,47,37,MALE
Gentoo,Torgersen,13.272114553617486,18.421090607551193,85,15,MALE
Chinstrap,Dream,47.273427492876344,69.93917009045863,89,99,MALE
Adelie,Biscoe,9.006744642336084,32.69288351911575,37,82,MALE
Adelie,Dream,84.34030982555336,97.74151859684193,48,77,.
Chinstrap,Torgersen,52.834699327016565,72.99263905680354,73,98,FEMALE
Adelie,Torgersen,22.897749476343353,38.5992846811111,58,15,FEMALE
Adelie,Torgersen,13.067257522618947,99.98384746731884,52,87,FEMALE
Adelie,Dream,59.108166503368246,13.411414345957295,7,31,FEMALE
Adelie,Biscoe,75.1675052654467,32.31528480356059,1,42,MALE
Adelie,Biscoe,38.706714729551564,52.83195709833043,43,51,.
Adelie,Dream,78.06140269982933,12.409355394547694,3,15,.
Chinstrap,Biscoe,67.4287121348199,59.972204709260666,31,58,MALE
Adelie,Biscoe,4.974564269247416,72.30449272327229,20,38,.
Chinstrap,Dream,71.96536417822243,42.221251196597706,85,35,MALE
Gentoo,Torgersen,57.47519991378921,63.8424228866293,16,10,MALE
Gentoo,Biscoe,91.82859650227681,87.41363206409164,76,41,FEMALE
Gentoo,Torgersen,9.355640439775492,95.90816056273447,59,87,MALE
Adelie,Biscoe,17.516875904201257,41.67447800254182,21,67,.
Gentoo,Torgersen,66.43115591541748,72.16290341788775,70,45,.
Gentoo,Torgersen,85.3350959164163,76.97882038314927,9,99,.
Gentoo,Biscoe,20.84324533197366,70.73590915735846,38,41,FEMALE
Adelie,Biscoe,94.83734034805225,53.46097362875586,74,2,.
Gentoo,Dream,88.7397155342207,17.180135634544747,48,60,MALE
Chinstrap,Biscoe,9.887177295341266,26.910158008305363,30,18,.
Adelie,Biscoe,94.52179835272676,59.48012211746185,24,99,FEMALE
Gentoo,Dream,24.136450824601006,37.044665965853675,41,77,.
Chinstrap,Torgersen,62.64566828443634,92.19758574341593,50,27,.
Adelie,Dream,69.50022003324266,16.63956939235156,72,64,FEMALE
Chinstrap,Torgersen,33.04683734544261,29.280201097908765,39,23,MALE
Adelie,Dream,6.1954767782086195,8.588818410953836,65,22,.
Gentoo,Biscoe,67.75372758647092,56.649463443319945,75,79,FEMALE
Chinstrap,Biscoe,12.18600901847835,25.635432216645714,60,22,FEMALE
Chinstrap,Torgersen,3.088642118085627,91.65637146775684,91,61,FEMALE
Gentoo,Biscoe,74.70142390789056,35.38272908304606,37,13,.
Adelie,Torgersen,11.082352550507203,26.294619614013193,33,82,MALE
Gentoo,Dream,81.11668645315095,88.24342597317809,32,24,MALE
Gentoo,Biscoe,98.90788480821897,35.89502458239774,77,96,FEMALE
Adelie,Torgersen,40.36830449113752,17.377487112719734,4,37,MALE
Chinstrap,Dream,64.60224663627429,93.50209387386069,99,93,.
Chinstrap,Biscoe,92.9940151603159,0.6247141952404611,49,92,FEMALE
Chinstrap,Biscoe,91.68963856064451,78.19176847973056,29,89,.
Chinstrap,Torgersen,31.28507730488265,99.00132269616321,1,69,FEMALE
Gentoo,Biscoe,2.7159383746680477,16.459339573333832,62,39,FEMALE
Chinstrap,Torgersen,28.774692539542045,30.516223683167965,53,60,MALE
Chinstrap,Biscoe,18.5877716135481,56.98418106763775,10,62,.
Chinstrap,Dream,35.58493067944919,31.606151237423084,70,47,MALE
Chinstrap,Biscoe,28.40958929057804,54.31774166573986,90,80,.
Chinstrap,Torgersen,84.30458161282095,90.37013939274729,41,35,FEMALE
Adelie,Torgersen,52.446278689207915,27.978383093173818,30,92,MALE
Gentoo,Torgersen,12.939428644322925,77.72204027746984,76,7,FEMALE
Chinstrap,Dream,38.57702051054533,56.91640274203466,5,2,FEMALE
Chinstrap,Biscoe,66.59481202569197,94.40015351871139,23,88,FEMALE
Gentoo,Biscoe,88.29846001512855,39.24239768722148,96,95,FEMALE
Chinstrap,Biscoe,46.11857131821188,96.16539957618842,63,9,MALE
Gentoo,Torgersen,91.81465895304432,96.30972229513917,32,43,MALE
Adelie,Torgersen,79.63257839832876,79.94933497775128,69,49,FEMALE
Chinstrap,Biscoe,7.586408903911757,9.688171504911358,98,40,FEMALE
Chinstrap,Torgersen,81.28566756495648,23.72092601206862,24,56,FEMALE
Adelie,Biscoe,9.151053229102335,6.028454863297417,25,85,FEMALE
Chinstrap,Biscoe,91.52162057446259,19.329881514723358,7,52,MALE
Adelie,Torgersen,71.78361007759672,38.05430860864058,81,66,.
Adelie,Biscoe,23.29908151835295,60.64311558729868,88,93,MALE
Chinstrap,Torgersen,16.901135612085337,38.550014560662916,78,20,FEMALE
Adelie,Biscoe,45.96391658316365,41.24109755990314,17,51,FEMALE
Chinstrap,Torgersen,64.9689897106321,40.002393746729624,52,62,FEMALE
Chinstrap,Torgersen,20.358557033651692,6.801893655674329,5,98,MALE
Chinstrap,Torgersen,95.71108282124572,87.51433768323793,43,78,MALE
Adelie,Biscoe,14.887314455280464,65.94587267230587,33,44,.
Adelie,Biscoe,86.0020343756531,33.589396237033974,44,4,MALE
Adelie,Dream,26.149988415869107,59.99069404084483,37,28,FEMALE
Gentoo,Biscoe,4.55703933456274,52.64744595607189,20,99,FEMALE
Chinstrap,Biscoe,60.38629451588514,37.9387009490988,1,34,FEMALE
Adelie,Biscoe,43.5411182235843,13.8471245806565,12,51,.
Gentoo,Dream,30.445935292296124,77.27094904987676,37,68,MALE
Chinstrap,Dream,32.02589060100601,7.483721559907708,80,21,FEMALE
Chinstrap,Biscoe,67.86303132689169,19.419333324545917,46,33,MALE
Chinstrap,Biscoe,47.15346847614479,6.467887489812318,100,79,FEMALE
Gentoo,Torgersen,49.620365312976276,28.362565489053736,98,81,FEMALE
Adelie,Biscoe,5.2074167180395925,75.5941182662019,64,34,FEMALE
Adelie,Torgersen,69.9605875984557,94.76368220561893,35,34,.
Adelie,Biscoe,51.51919865755745,89.51046301339233,50,100,FEMALE
Adelie,Torgersen,79.548828142875,53.61226156280874,14,86,.
Chinstrap,Dream,54.31221233334676,50.07995106679387,89,76,MALE
Chinstrap,Dream,25.880715697940072,98.69566848315952,44,90,MALE
Adelie,Biscoe,12.621032615152938,50.43495736363748,46,32,.
Adelie,Dream,51.18788288021856,75.23763360667095,5,2,MALE
Adelie,Dream,95.4343478388637,94.93921530258616,61,32,MALE
Gentoo,Torgersen,18.18362232598695,0.6447711841581771,28,33,FEMALE
Chinstrap,Dream,59.86810507753714,7.180215548862812,76,9,FEMALE
Adelie,Biscoe,57.62317832922286,52.45184747598639,48,71,MALE
Adelie,Biscoe,27.650734625815907,0.426169960350542,71,23,.
Gentoo,Dream,79.7791819167285,65.26358921623785,83,71,.
Adelie,Biscoe,69.70560061936328,88.54321828323444,41,11,MALE
Chinstrap,Dream,51.09783226304947,92.11754875409186,85,86,FEMALE
Gentoo,Biscoe,62.36019358300469,1.3052547617915078,40,35,MALE
Gentoo,Torgersen,64.67947601903602,88.12368416724354,25,24,MALE
Gentoo,Dream,95.98327789242353,68.07249371306835,64,73,MALE
Adelie,Biscoe,20.269289434656724,74.22894458686483,86,85,MALE
Adelie,Torgersen,54.93582343842951,55.299630351792636,43,46,MALE
Adelie,Dream,84.29925340033894,20.410963987583074,38,23,.
Gentoo,Biscoe,11.94731743688534,68.84554990179856,25,43,FEMALE
Gentoo,Dream,99.01680166587506,33.66916105532405,56,23,.
Chinstrap,Torgersen,75.9612777542186,58.80263578799627,44,88,MALE
Gentoo,Dream,24.852997700461998,34.83650610472087,92,6,FEMALE
Adelie,Torgersen,97.47746260077895,54.307925301205394,1,20,.
Adelie,Torgersen,22.84962763188947,12.267790887912133,66,100,MALE
Gentoo,Biscoe,86.29705506656606,6.374111735569576,54,46,MALE
Chinstrap,Torgersen,24.65576894000039,5.413285193398954,10,32,MALE
Gentoo,Torgersen,81.8504495424825,98.00747858803929,54,42,.
Gentoo,Biscoe,32.67123782277278,73.24843688070354,43,19,MALE
Gentoo,Torgersen,99.61987485371027,91.59072139604683,13,64,MALE
Adelie,Biscoe,81.49620116554401,31.40748190839464,92,62,.
Adelie,Biscoe,25.466344230884207,55.77970698865358,1,4,FEMALE
Adelie,Torgersen,76.11595004436532,52.982109366740346,37,85,.
Gentoo,Dream,57.37284221084351,8.408095139113392,100,56,.
Chinstrap,Torgersen,23.24702915211657,18.994502565512505,50,31,FEMALE
Gentoo,Dream,11.587944777172899,61.099216687471035,98,48,FEMALE
Gentoo,Torgersen,44.406742943209466,61.334437161399045,40,71,MALE
Adelie,Biscoe,16.68113649624836,35.290167439555496,98,49,MALE
Adelie,Torgersen,84.21611792154748,98.9780168957418,26,12,MALE
Gentoo,Biscoe,32.19319600061067,57.38382077662047,89,17,MALE
Chinstrap,Dream,15.845087259953894,65.88589649383026,89,29,MALE
Adelie,Torgersen,72.1448090333554,83.19027620192455,57,51,MALE
Chinstrap,Dream,24.29720549826809,42.3630411934425,62,3,MALE
Chinstrap,Torgersen,68.51095134437247,25.172687880306942,6,30,MALE
Gentoo,Biscoe,39.94028331119816,44.52610751731885,15,90,FEMALE
Gentoo,Biscoe,38.90913171458931,44.226627416708666,58,45,MALE
Gentoo,Torgersen,10.387450843738977,53.10388479571962,46,23,MALE
Chinstrap,Dream,0.1320093455632998,46.73196546400858,94,97,.
Adelie,Torgersen,94.63161188166693,71.78026484355539,7,81,.
Adelie,Torgersen,0.8469059196420603,63.59933587554052,77,18,FEMALE
Gentoo,Torgersen,74.15333358783572,13.770305001716999,87,93,MALE
Adelie,Dream,68.25054094592889,22.09068548667882,27,66,MALE
Chinstrap,Torgersen,42.244360108727264,73.02293160953363,74,20,FEMALE
Chinstrap,Biscoe,54.083326386941955,43.33872893427618,58,48,.
Adelie,Torgersen,43.20555222425263,51.80375902966766,36,21,.
Chinstrap,Torgersen,68.41957438864824,14.362385013359669,25,62,.
Chinstrap,Biscoe,72.1214767690516,14.11431631529707,78,100,MALE
Chinstrap,Torgersen,28.163004107602596,24.39102164109862,97,29,MALE
Gentoo,Dream,84.94203108598954,98.38327286048165,41,68,MALE
Gentoo,Torgersen,51.97992334450882,71.68350747743257,55,41,FEMALE
Adelie,Dream,84.47031132080349,27.34040368009841,31,61,FEMALE
Adelie,Torgersen,93.2012042261985,64.47130322057926,83,30,MALE
Adelie,Torgersen,49.77236935765442,68.8156312800936,10,2,MALE
Chinstrap,Torgersen,76.20334953762341,89.42510841800184,55,8,FEMALE
Chinstrap,Dream,54.71399038513607,44.15618777253357,25,76,FEMALE
Gentoo,Biscoe,42.10940228127181,26.173410787560247,38,6,.
Gentoo,Torgersen,39.149862030767615,29.400880765228564,72,42,.
Adelie,Torgersen,58.344508936699015,18.841906029968136,38,45,.
Adelie,Torgersen,38.18370516855395,91.28732874908967,8,51,.
Chinstrap,Biscoe,79.50793273364695,64.98260746489774,92,89,FEMALE
Gentoo,Torgersen,20.732605487493228,87.34113939617188,52,36,MALE
Gentoo,Dream,27.13166761604797,89.49174216341692,67,23,.
Chinstrap,Biscoe,53.79572403216943,67.10766834379494,72,0,MALE
Adelie,Dream,30.031827530016685,83.20243544109958,92,1,.
Gentoo,Dream,70.88110890758456,15.339549360747206,42,42,MALE
Gentoo,Biscoe,53.333687132807896,53.263089498746574,62,26,MALE
